Miðbraut 33,,,,,,,
Miðbraut 34,,,,,,,
Miðbraut 36,,,,,,,
Miðbraut 38,,,,,,,
Miðbraut 40,,,,,,,
Nesbali 1, HF-4-7, HB-4-6,HF-4-9,HB-4-8,,,
Nesbali 2, HF-4-7, HB-4-6,,,,,
Nesbali 3, HF-4-7, HB-4-6,,,,,
Nesbali 4, HF-4-7, HB-4-6,,,,,
Nesbali 5, HF-4-7, HB-4-6,,,,,
Nesbali 6, HF-4-7, HB-4-6,,,,,
Nesbali 7, HF-4-7, HB-4-6,,,,,
Nesbali 8, HF-4-7, HB-4-6,,,,,
Nesbali 9, HF-4-7, HB-4-6,,,,,
Nesbali 10, HF-4-7, HB-4-6,,,,,
Nesbali 11, HF-4-7, HB-4-6,,,,,
Nesbali 12, HF-4-7, HB-4-6,,,,,
Nesbali 13, HF-4-7, HB-4-6,,,,,
Nesbali 14, HF-4-7, HB-4-6,,,,,
Nesbali 15, HF-4-7, HB-4-6,,,,,
Nesbali 16, HF-4-7, HB-4-6,,,,,
Nesbali 17,HF-4-5,HB-4-4,,,,,
Nesbali 18, HF-4-7, HB-4-6,,,,,
Nesbali 19,HF-4-5,HB-4-4,,,,,
Nesbali 20, HF-4-7, HB-4-6,,,,,
Nesbali 21,HF-4-5,HB-4-4,,,,,
Nesbali 22, HF-4-7, HB-4-6,,,,,
Nesbali 23,HF-4-5,HB-4-4,,,,,
Nesbali 24, HF-4-7, HB-4-6,,,,,
Nesbali 25,HF-4-5,HB-4-4,,,,,
Nesbali 26, HF-4-7, HB-4-6,,,,,
Nesbali 27,HF-4-5,HB-4-4,,,,,
Nesbali 28, HF-4-7, HB-4-6,,,,,
Nesbali 29,HF-4-5,HB-4-4,,,,,
Nesbali 30, HF-4-7, HB-4-6,,,,,
Nesbali 31,HF-4-5,HB-4-4,,,,,
Nesbali 32, HF-4-7, HB-4-6,,,,,
Nesbali 33,HF-4-5,HB-4-4,,,,,
Nesbali 34, HF-4-7, HB-4-6,,,,,
Nesbali 35,HF-4-5,HB-4-4,,,,,
Nesbali 38, HF-4-7, HB-4-6,,,,,
Nesbali 40, HF-4-7, HB-4-6,,,,,
Nesbali 42, HF-4-7, HB-4-6,,,,,
Nesbali 44, HF-4-7, HB-4-6,,,,,
Nesbali 46,,,,,,,
Nesbali 48,,,,,,,
Nesbali 50,,,,,,,
Nesbali 52,,,,,,,
Nesbali 54,,,,,,,
Nesbali 56,,,,,,,
Nesbali 58,,,,,,,
Nesbali 60,,,,,,,
Nesbali 62,,,,,,,
Nesbali 64,,,,,,,
Nesbali 66,,,,,,,
Nesbali 68,,,,,,,
Nesbali 70,,,,,,,
Nesbali 72,,,,,,,
Nesbali 74,,,,,,,
Nesbali 76,,,,,,,
Nesbali 78,,,,,,,
Nesbali 80,,,,,,,
Nesbali 82,,,,,,,
Nesbali 84,,,,,,,
Nesbali 86,,,,,,,
Nesbali 88,,,,,,,
Nesbali 90,,,,,,,
Nesbali 92,,,,,,,
Nesbali 92 A,,,,,,,
Nesbali 94,,,,,,,
Nesbali 96,,,,,,,
Nesbali 98,,,,,,,
Nesbali 100,,,,,,,
Nesbali 102,,,,,,,
Nesbali 104,,,,,,,
Nesbali 106,,,,,,,
Nesbali 108,HF-4-3,HB-4-2,,,,,
Nesbali 110,HF-4-3,HB-4-2,,,,,
Nesbali 112,HF-4-3,HB-4-2,,,,,
Nesbali 114,HF-4-3,HB-4-2,,,,,
Nesbali 116,HF-4-3,HB-4-2,,,,,
Nesbali 118,HF-4-3,HB-4-2,,,,,
Nesbali 120,HF-4-3,HB-4-2,,,,,
Nesbali 122,HF-4-3,HB-4-2,,,,,
Nesbali 124,HF-4-3,HB-4-2,,,,,
Nesbali 126,HF-4-3,HB-4-2,,,,,
Neströð 1,HF-4-7,HB-4-6,,,,,
Neströð 3,HF-4-7,HB-4-6,,,,,
Neströð 5,HF-4-7,HB-4-6,,,,,
Neströð 7,HF-4-7,HB-4-6,,,,,
Sefgarðar 2,HF-4-12,,,,,,
Sefgarðar 4,HF-4-12,,,,,,
Sefgarðar 6,HF-4-12,,,,,,
Sefgarðar 8,HF-4-12,,,,,,
Sefgarðar 10,HF-4-12,,,,,,
Sefgarðar 12,HF-4-12,,,,,,
Sefgarðar 14,HF-4-12,,,,,,
Sefgarðar 16,HF-4-12,,,,,,
Sefgarðar 18,HF-4-12,,,,,,
Sefgarðar 20,HF-4-12,,,,,,
Sefgarðar 22,HF-4-13,,,,,,
Sefgarðar 24,HF-4-13,,,,,,
Sefgarðar 26,HF-4-13,HF-4-15,,,,,
Sefgarðar 28,HF-4-13,HF-4-15,,,,,
Selbraut 1,HF-6-10,,,,,,
Selbraut 2,HF-6-10,,,,,,
Selbraut 3,HF-6-10,,,,,,
Selbraut 4,HF-6-10,,,,,,
Selbraut 5,HF-6-10,,,,,,
Selbraut 6,HF-6-10,,,,,,
Selbraut 7,HF-6-10,,,,,,
Selbraut 8,HF-6-10,,,,,,
Selbraut 9,HF-6-10,,,,,,
Selbraut 10,HF-6-10,,,,,,
Selbraut 11,HF-6-10,,,,,,
Selbraut 12,HF-6-10,,,,,,
Selbraut 13,HF-6-10,,,,,,
Selbraut 14,HF-6-10,,,,,,
Selbraut 15,HF-6-10,,,,,,
Selbraut 16,HF-6-10,,,,,,
Selbraut 17,HF-6-10,,,,,,
Selbraut 18,HF-6-10,,,,,,
